RANKING DE OPORTUNIDADES,DATA_CRIACAO,ID AUTOMÁTICO,CUSTOMER,VENDEDOR,COUNTRY,PROVINCE,PRODUCT,SOLUTION/BID, mkt_qty , lvk_qty ,BID DATE,DATA DE FECHAMENTO,INCORTERM,net_price_usd,total_net_usd,TOTAL NET HX (USD),exchange_rate, TOTAL NET (R$) , TOTAL NET LVK (R$) ,ESTAGIO,STATUS,RISCO,PROBABILIDADE,PROX PASSO,MOTIVO PERDA,OBSERVAÇÕES,DATA DA ULTIMA ATUALIZAÇÃO,STATUS_DADOS,ID_OPORTUNIDADE,ALERTA AUTOMÁTICO,Dolar do dia,"5,1523"
8,08/06/2026,,DBA Energia - Condomínio,Felipe Hanke,Brasil,Bahia,BESS,EPC,,,11/06/2026,09/09/2026,CIF,"$195.763,67","$195.763,67","$195.763,67",," R$  1.000.000,00 "," R$  1.000.000,00 ",Proposta,Aguardando processo interno,Médio,50%,"Integrador grande na Bahia, interessado em BESS",,,15/06/2026,,,,,
8,08/06/2026,,DBA Energia - Condomínio 2,Felipe Hanke,Brasil,Bahia,BESS,EPC,,,11/06/2026,09/09/2026,CIF,"$195.763,67","$195.763,67","$195.763,67",," R$  1.000.000,00 "," R$  1.000.000,00 ",Proposta,Aguardando processo interno,Médio,50%,"Integrador grande na Bahia, interessado em BESS",,,15/06/2026,,,,,
9,08/06/2026,,KBTZ ,Felipe Hanke,Brasil,Minas Gerais,BESS,EPC,,,11/06/2026,09/09/2026,CIF,"$127.246,39","$127.246,39","$127.246,39",," R$  650.000,00 "," R$  650.000,00 ",Qualificação,Aguardando processo interno,Médio,30%,"Integrador grande em MG na área de Bess, aguardar NDA assinado",,,15/06/2026,,,,,
,08/06/2026,,CW Bus - Estações tubo e intermediárias,Felipe Hanke,Brasil,Paraná,SOLAR + BESS,EPC,,,11/06/2026,09/09/2026,CIF,"$0,00","$0,00","$0,00",,,,Proposta,Aguardando processo interno,Baixo,0%,"Projeto de inovação para prefeitura, estudo inicial",,,15/06/2026,,,,,
10,08/06/2026,,Fabrica Fenix - Manaus,Felipe Hanke,Brasil,Manaus - AM,BESS + SOLAR,EPC,,,11/06/2026,01/07/2026,CIF,"$30.871,93","$30.871,93","$30.871,93",," R$  157.700,00 "," R$  157.700,00 ",Negociação,Aguardando processo interno,Alto,80%,"Proximo ao fechamento, Flávio ficou de consultar Mr. Cheng como proceder",,,15/06/2026,,,,,
10,08/06/2026,,EDTK Consulting - JCTech,Felipe Hanke,Brasil,São Paulo,PARCERIA COMERCIAL,EPC,,,11/06/2026,01/07/2026,CIF,"$0,00","$0,00","$0,00",,,,Proposta,Aguardando processo interno,Alto,50%,"Aguardando proposta, alguns itens ainda não temos precificação.",,,15/06/2026,,,,,
10,08/06/2026,,EDTK Consulting,Felipe Hanke,Brasil,Manaus - AM,IGOR DIMENSIONOU,EPC,,,11/06/2026,01/07/2026,CIF,"$0,00","$0,00","$0,00",,,,Proposta,Aguardando processo interno,Alto,50%,Aguardando detalhamento técnico.,,,15/06/2026,,,,,
,08/06/2026,,WATT On,Felipe Hanke,Brasil,Belo Horizonte,Carregadores Veiculares,CPO,,,11/06/2026,20/06/2026,CIF,"$4.522,14","$4.522,14","$4.522,14",," R$  23.100,00 "," R$  23.100,00 ",Ganho,Ganho,Alto,100%,Fechado,,,15/06/2026,,,,,
,09/06/2026,,CPO Campina Grande,Felipe Hanke,Brasil,Campina Grande,Carregadores Veiculares,CPO,,,11/06/2026,20/06/2026,CIF,"$33.429,58","$33.429,58","$33.429,58",," R$  170.765,00 "," R$  170.765,00 ",Proposta,Aguardando parceiro,Alto,30%,Aguardando contrato de locação dos lugares serem resolvidos,,,15/06/2026,,,,,
,15/06/2026,,Inframob,Felipe Hanke,Brasil,Porto Alegre,Todo o Portfólio,Mobilidade Urbana,,,15/06/2026,10/02/2026,CIF,,,,,,,Qualificação,Aguardando cliente,Médio,0%,Guilherme prospectando clientes,,,15/06/2026,,,,,
,15/06/2026,,Prefeitura de Porto Alegre,Felipe Hanke,Brasil,Porto Alegre,EV Chargers - Turn Key,Mobilidade Urbana,,,15/06/2026,10/02/2026,CIF,,,,,,,Qualificação,Aguardando cliente,Baixo,10%,Aguardar definição da oficina para fecharmos,,,15/06/2026,,,,,
,05/04/2026,,Terminal Santa Cândida (Aethrion),Felipe Hanke,Brasil,Curitiba,EV Chargers - Turn Key,Mobilidade Urbana,,,15/06/2026,10/02/2026,CIF,,,,,,,Proposta,,,0%,,,,,,,,,
,05/04/2026,,Terminal Boqueirão (Aethrion),Felipe Hanke,Brasil,Curitiba,EV Chargers - Turn Key,Mobilidade Urbana,,,15/06/2026,10/02/2026,CIF,,,,,,,Proposta,,,0%,,,,,,,,,
5,13/04/2026,OPP-VAL-0426-021,VALE VARGEM GRANDE (BESS),Felipe Hanke,Brasil,Minas Gerais,BESS 261 e BESS 5MW,Mineração,,,30/03/2026,05/11/2026,CIF,"$3.919.188,76","$3.919.188,76","$3.919.188,76",," R$  20.020.000,00 "," R$  20.020.000,00 ",Proposta,Aguardando processo interno,Médio,80%,Aguardando envio de informações para especificação de Bess para canteiro de obras e Bombas,,,15/06/2026,,,,,
,17/06/2026,,VALE VARGEM GRANDE (MOTOR DE BARCO),,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,
,17/06/2026,,VALE VARGEM GRANDE (LUMINÁRIAS),,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,
,17/06/2026,,VALE VARGEM GRANDE (SIGFI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,
