DATA_SNAPSHOT,ID_OPORTUNIDADE,CUSTOMER,VENDEDOR, TOTAL NET LVK (R$) ,ESTAGIO,STATUS,RISCO,PROBABILIDADE,PROX PASSO,DATA DA ULTIMA ATUALIZAÇÃO,DATA DE FECHAMENTO,CHAVE,STATUS ANTERIOR
03/04/2026,OPP-EVO-0426-009,EVMOBILITY (GBT),Felipe Hanke," R$  250.000,00 ",Proposta,Aguardando processo interno,,15%,"Estão comprando um carregador GBT à 65k, porém precisam com urgência, enviei o valor de frete aéreo na sexta, porém ainda sem retorno.",12/05/2026,,,
,,EVMOBILITY (HUB MERCADO LIVRE),Felipe Hanke,,Proposta,Aguardando processo interno,,10%,"Estamos criando um modelo de negócio em conjunto para ser apresentado ao Mercado Livre, está ainda em desenvolvimento da solução",12/05/2026,,,
03/04/2026,OPP-EVO-0426-003,EVMOBILITY (lISTA DE PREÇOS),Felipe Hanke," R$  29.000,00 ",Negociação,Aguardando parceiro,,100%,"Contato realizado com Pedro, solicitou que enviássemos lista de preços e mantivessemos estoque no  Brasil, lista de preços enviada, reunião agendada com flávio para falarmos sobre estoque no Brasil",12/05/2026,,,
03/04/2026,OPP-EVO-0426-003,EVOLUTION MOBILITY (GRUPO PÁTRIA),Felipe Hanke," R$  29.000,00 ",,,,100%,,03/04/2026,,,12/05/2026
13/04/2026,OPP-EVO-0426-003,EVOLUTION MOBILITY (GRUPO PÁTRIA),Felipe Hanke," R$ 29.000,00 ", Negociação ,Parado,,100%,Contato está no Histórico com a Anna,13/04/2026,,,
03/04/2026,OPP-EVO-0426-009,EVOLUTION MOBILITY (GRUPO PÁTRIA),Felipe Hanke," R$  37.500,00 ",,,,15%,,03/04/2026,,,
13/04/2026,OPP-EVO-0426-009,EVOLUTION MOBILITY (GRUPO PÁTRIA),Felipe Hanke," R$ 37.500,00 ", Negociação ,Aguardando cliente,,15%,"Estão comprando um carregador GBT à 65k, porém precisam com urgência, enviei o valor de frete aéreo na sexta, porém ainda sem retorno.",13/04/2026,,,
03/04/2026,OPP-EVO-0426-010,EVOLUTION MOBILITY (GRUPO PÁTRIA),Felipe Hanke," R$  348.000,00 ",,,,15%,,03/04/2026,,,
13/04/2026,OPP-EVO-0426-010,EVOLUTION MOBILITY (GRUPO PÁTRIA),Felipe Hanke," R$ 348.000,00 ", Negociação ,Aguardando cliente,,15%,"Estão comprando um carregador GBT à 65k, porém precisam com urgência, enviei o valor de frete aéreo na sexta, porém ainda sem retorno.",13/04/2026,,,
03/04/2026,OPP-EXP-0426-011,EXPRESS,Felipe Hanke,,,,,0%,,03/04/2026,,,
13/04/2026,OPP-EXP-0426-011,EXPRESS,Felipe Hanke,, Negociação ,Parado,,0%,"Empresa de Onibus em SP, Precisa marcar uma nova conversa com ele, Bruno já disse que eu entraria em contato, fica na Zona Leste de SP cliente vai pra alta tensão, entender como está a obra.",13/04/2026,,,
03/04/2026,OPP-EXP-0426-011,EXPRESS,Felipe Hanke,,Qualificação,Parado,,0%,"Tentei contato com Toninho várias vezes, na ida para SP tentar novo contato e visita",12/05/2026,,,
03/04/2026,OPP-EZ -0426-013,EZ VOLT,Felipe Hanke,,,,,0%,,03/04/2026,,,12/05/2026
